ms, dB
0.120833, -18.639004
0.121250, -7.976839
0.121667, -6.262862
0.122083, -2.067979
0.122500, -7.323695
0.122917, -12.575359
0.123333, -18.340381
0.123750, -5.869053
0.124167, -6.322539
0.124583, -7.269267
0.125000, -16.921951
0.125417, -19.247268
0.125833, -4.067361
0.126250, -16.066098
0.126667, -11.784383
0.127083, -13.504800
0.127500, -4.342013
0.127917, -2.556913
0.128333, -13.440868
0.128750, -5.599448
0.129167, -6.703904
0.129583, -4.482059
0.130000, -6.326841
0.130417, -10.701302
0.130833, -16.576848
0.131250, -5.635625
0.131667, -7.044450
0.132083, -27.501531
0.132500, -13.317538
0.132917, -5.281743
0.133333, -5.377843
0.133750, -6.335456
0.134167, -6.220307
0.134583, -10.709514
0.135000, -6.961162
0.135417, -4.403695
0.135833, -12.335021
0.136250, -15.732365
0.136667, -7.618448
0.137083, -4.028579
0.137500, -6.631318
0.137917, -9.048246
0.138333, -5.569533
0.138750, -4.483911
0.139167, -5.262844
0.139583, -4.159840
0.140000, -11.170220
0.140417, -7.659287
0.140833, -4.179497
0.141250, -9.641921
0.141667, -10.941032
0.142083, -10.509039
0.142500, -3.713434
0.142917, -4.617802
0.143333, -6.536133
0.143750, -8.651342
0.144167, -6.684736
0.144583, -3.400084
0.145000, -9.954695
0.145417, -6.185626
0.145833, -8.260002
0.146250, -4.324897
0.146667, -4.013046
0.147083, -5.959192
0.147500, -5.850511
0.147917, -8.684056
0.148333, -3.150398
0.148750, -4.028724
0.149167, -6.833045
0.149583, -11.752224
0.150000, -12.762599
0.150417, -5.441929
0.150833, -5.778214
0.151250, -8.668236
0.151667, -5.664998
0.152083, -6.916366
0.152500, -9.331930
0.152917, -5.312403
0.153333, -9.130162
0.153750, -4.232285
0.154167, -6.441727
0.154583, -3.911468
0.155000, -11.412300
0.155417, -13.004092
0.155833, -4.754713
0.156250, -5.009897
0.156667, -4.520524
0.157083, -11.095554
0.157500, -7.492625
0.157917, -2.955645
0.158333, -7.297002
0.158750, -6.052025
0.159167, -10.023411
0.159583, -6.322555
0.160000, -3.440692
0.160417, -2.487278
0.160833, -5.484145
0.161250, -17.011753
0.161667, -7.906543
0.162083, -3.448222
0.162500, -7.426754
0.162917, -12.431816
0.163333, -7.174743
0.163750, -2.748914
0.164167, -6.509511
0.164583, -11.411458
0.165000, -7.698391
0.165417, -5.641900
0.165833, -4.574664
0.166250, -5.052347
0.166667, -6.291893
0.167083, -5.954919
0.167500, -3.187392
0.167917, -4.526422
0.168333, -7.568801
0.168750, -21.260353
0.169167, -8.221306
0.169583, -5.214971
0.170000, -7.963689
0.170417, -6.697580
0.170833, -7.523671
0.171250, -3.710983
0.171667, -5.855384
0.172083, -19.522930
0.172500, -10.986375
0.172917, -5.076669
0.173333, -7.275831
0.173750, -4.177713
0.174167, -4.009850
0.174583, -4.565645
0.175000, -4.683524
0.175417, -5.923074
0.175833, -9.471368
0.176250, -5.918639
0.176667, -4.756111
0.177083, -12.584170
0.177500, -5.486400
0.177917, -12.124580
0.178333, -12.665429
0.178750, -7.165932
0.179167, -3.406340
0.179583, -4.646870
0.180000, -15.775216
0.180417, -10.071919
0.180833, -4.043722
0.181250, -3.625163
0.181667, -9.929255
0.182083, -3.050377
0.182500, -4.382729
0.182917, -1.749784
0.183333, -5.273063
0.183750, -14.556169
0.184167, -30.356673
0.184583, -10.831174
0.185000, -6.764334
0.185417, -7.225673
0.185833, -10.458155
0.186250, -14.869803
0.186667, -4.100784
0.187083, -4.149184
0.187500, -19.678443
0.187917, -6.238465
0.188333, -9.803526
0.188750, -5.027807
0.189167, -8.156697
0.189583, -19.219780
0.190000, -6.014465
0.190417, -8.234154
0.190833, -5.010348
0.191250, -7.541664
0.191667, -6.890028
0.192083, -3.705168
0.192500, -3.891515
0.192917, -8.018400
0.193333, -7.758017
0.193750, -9.093335
0.194167, -4.075504
0.194583, -10.251963
0.195000, -6.600319
0.195417, -20.418207
0.195833, -7.406185
0.196250, -3.345406
0.196667, -12.653428
0.197083, -5.076284
0.197500, -13.329830
0.197917, -3.129778
0.198333, -18.252098
0.198750, -18.868601
0.199167, -14.023483
0.199583, -7.986915
0.200000, -6.355728
0.200417, -16.390333
0.200833, -10.360396
0.201250, -4.269767
0.201667, -7.575505
0.202083, -3.379337
0.202500, -15.824412
0.202917, -9.814351
0.203333, -8.924355
0.203750, -6.330997
0.204167, -4.250369
0.204583, -10.376191
0.205000, -10.641673
0.205417, -10.308741
0.205833, -4.394556
0.206250, -6.526084
0.206667, -18.539871
0.207083, -8.601906
0.207500, -18.544909
0.207917, -7.943271
0.208333, -18.301306
0.208750, -8.025033
0.209167, -12.177869
0.209583, -6.440356
0.210000, -6.205281
0.210417, -9.328950
0.210833, -4.265806
0.211250, -3.770106
0.211667, -7.362653
0.212083, -12.139100
0.212500, -9.385057
0.212917, -9.158224
0.213333, -3.049197
0.213750, -12.613327
0.214167, -8.987682
0.214583, -6.290859
0.215000, -4.625387
0.215417, -4.898441
0.215833, -13.414626
0.216250, -11.606695
0.216667, -12.296372
0.217083, -4.188261
0.217500, -7.039750
0.217917, -8.842005
0.218333, -6.399058
0.218750, -4.271143
0.219167, -4.489354
0.219583, -12.750510
0.220000, 2.385009
0.220417, -5.204058
0.220833, -7.158141
0.221250, -4.515079
0.221667, -7.592012
0.222083, -20.832340
0.222500, -5.957314
0.222917, -18.900921
0.223333, -5.084891
0.223750, -14.822748
0.224167, -3.205070
0.224583, -13.403615
0.225000, -12.612540
0.225417, -4.468669
0.225833, -10.482688
0.226250, -6.245235
0.226667, -4.720321
0.227083, -9.065596
0.227500, -8.143659
0.227917, -7.567681
0.228333, -12.116474
0.228750, -8.353619
0.229167, -16.387182
0.229583, -11.075952
0.230000, -7.855489
0.230417, -6.577927
0.230833, -10.770086
0.231250, -4.176219
0.231667, -18.682624
0.232083, -5.565376
0.232500, -3.029629
0.232917, -6.948654
0.233333, -9.375782
0.233750, -7.056668
0.234167, -5.940701
0.234583, -13.633456
0.235000, -9.202793
0.235417, -15.502123
0.235833, -7.679617
0.236250, -3.681716
0.236667, -8.231934
0.237083, -16.003558
0.237500, -5.390298
0.237917, -4.817117
0.238333, -6.903151
0.238750, -12.046321
0.239167, -13.701559
0.239583, -9.329289
0.240000, -4.542472
0.240417, -2.894825
0.240833, -10.446656
0.241250, -5.115310
0.241667, -8.062397
0.242083, -8.048264
0.242500, -5.959419
0.242917, -8.205624
0.243333, -13.815477
0.243750, -6.849712
0.244167, -10.977914
0.244583, -5.399085
0.245000, -11.065174
0.245417, -5.714167
0.245833, -9.722379
0.246250, -10.029208
0.246667, -7.759589
0.247083, -5.194629
0.247500, -7.487578
0.247917, -20.786687
0.248333, -7.836230
0.248750, -6.809174
0.249167, -7.949555
0.249583, -3.875646
0.250000, -5.418709
0.250417, -6.372685
0.250833, -10.604090
0.251250, -5.792325
0.251667, -6.473435
0.252083, -16.669218
0.252500, -5.825853
0.252917, -6.869862
0.253333, -6.158239
0.253750, -8.491991
0.254167, -6.262068
0.254583, -8.236385
0.255000, -7.168433
0.255417, -1.522231
0.255833, -5.521764
0.256250, -11.781228
0.256667, -14.586751
0.257083, -12.478299
0.257500, -4.802828
0.257917, -5.613423
0.258333, -5.959441
0.258750, -5.877602
0.259167, -6.260473
0.259583, -5.502095
0.260000, -9.457211
0.260417, -9.616157
0.260833, -7.707428
0.261250, -7.140419
0.261667, -5.337110
0.262083, -6.882417
0.262500, -5.116646
0.262917, -10.705444
0.263333, -8.143213
0.263750, -13.863299
0.264167, -10.660742
0.264583, -3.144676
0.265000, -9.433076
0.265417, -10.024585
0.265833, -5.729726
0.266250, -6.082453
0.266667, -3.253889
0.267083, -9.833853
0.267500, -10.430302
0.267917, -17.819831
0.268333, -4.491188
0.268750, -2.768172
0.269167, -9.131191
0.269583, -5.343286
0.270000, -4.735045
0.270417, -4.421849
0.270833, -8.756803
0.271250, -18.484859
0.271667, -13.802002
0.272083, -4.204113
0.272500, -3.422986
0.272917, -7.370134
0.273333, -5.450506
0.273750, -12.306296
0.274167, -6.711200
0.274583, -3.036255
0.275000, -6.369382
0.275417, -5.671774
0.275833, -4.188651
0.276250, -3.594628
0.276667, -6.371738
0.277083, -18.140995
0.277500, -5.863662
0.277917, -7.824191
0.278333, -5.765588
0.278750, -14.184992
0.279167, -17.159031
0.279583, -7.861799
0.280000, -20.108177
0.280417, -3.700227
0.280833, -8.526872
0.281250, -14.913303
0.281667, -5.714393
0.282083, -7.491614
0.282500, -5.004117
0.282917, -9.825836
0.283333, -2.307591
0.283750, -7.504160
0.284167, -8.118560
0.284583, -3.411016
0.285000, -8.083265
0.285417, -6.521049
0.285833, -6.762973
0.286250, -7.662816
0.286667, -3.620330
0.287083, -13.634946
0.287500, -4.788069
0.287917, -8.409064
0.288333, -7.414210
0.288750, -13.769514
0.289167, -10.320746
0.289583, -4.324630
0.290000, -7.543405
0.290417, -6.261170
0.290833, -11.226688
0.291250, -10.101858
0.291667, -2.305397
0.292083, -6.788213
0.292500, -10.426189
0.292917, -16.402081
0.293333, -8.094878
0.293750, -3.990099
0.294167, -12.276260
0.294583, -11.750533
0.295000, -6.690064
0.295417, -4.790429
0.295833, -3.338313
0.296250, -9.085075
0.296667, -6.683284
0.297083, -7.371184
0.297500, -6.974852
0.297917, -5.422653
0.298333, -9.583617
0.298750, -7.014055
0.299167, -5.075079
0.299583, -4.402012
0.300000, -32.611456
0.300417, -11.313764
0.300833, -12.178417
0.301250, -3.985444
0.301667, -6.847286
0.302083, -11.801061
0.302500, -4.108907
0.302917, -4.226620
0.303333, -6.877727
0.303750, -11.207554
0.304167, -5.453927
0.304583, -4.062811
0.305000, -5.162763
0.305417, -9.650493
0.305833, -13.118409
0.306250, -8.984619
0.306667, -1.745898
0.307083, -13.191245
0.307500, -10.322442
0.307917, -8.862858
0.308333, -9.870696
0.308750, -5.247064
0.309167, -4.641079
0.309583, -12.313103
0.310000, -3.324548
0.310417, -4.395546
0.310833, -4.224502
0.311250, -5.818928
0.311667, -9.754557
0.312083, -4.316259
0.312500, -7.949706
0.312917, -6.202328
0.313333, -8.422425
0.313750, -7.598353
0.314167, -9.298636
0.314583, -8.825220
0.315000, -9.240671
0.315417, -10.695588
0.315833, -3.559898
0.316250, -16.122272
0.316667, -6.918848
0.317083, -7.404636
0.317500, -6.280196
0.317917, -3.599531
0.318333, -33.860781
0.318750, -6.347297
0.319167, -14.042241
0.319583, -4.602846
0.320000, -3.481011
0.320417, -7.364597
0.320833, -19.823246
0.321250, -8.891496
0.321667, -9.231686
0.322083, -6.142695
0.322500, -8.904631
0.322917, -6.411798
0.323333, -5.757080
0.323750, -8.935038
0.324167, -6.652825
0.324583, -5.505514
0.325000, -10.430723
0.325417, -12.550209
0.325833, -3.986973
0.326250, -6.504302
0.326667, -3.872363
0.327083, -9.675992
0.327500, -5.382109
0.327917, -2.615581
0.328333, -12.105789
0.328750, -6.535682
0.329167, -10.247593
0.329583, -11.641981
0.330000, -5.880217
0.330417, -5.508814
0.330833, -22.788093
0.331250, -6.124435
0.331667, -4.896908
0.332083, -11.302147
0.332500, -12.981026
0.332917, -7.696927
0.333333, -3.583039
0.333750, -8.371142
0.334167, -7.226315
0.334583, -6.301442
0.335000, -4.213620
0.335417, -5.968968
0.335833, -4.811138
0.336250, -5.885091
0.336667, -12.168933
0.337083, -6.322246
0.337500, -5.941557
0.337917, -8.180076
0.338333, -6.497651
0.338750, -11.179656
0.339167, -8.032553
0.339583, -6.607300
0.340000, -9.381897
0.340417, -11.268061
0.340833, -5.896503
0.341250, -2.599614
0.341667, -5.467793
0.342083, -13.474531
0.342500, -11.635201
0.342917, -7.059445
0.343333, -6.921787
0.343750, -8.106920
0.344167, -8.012974
0.344583, -6.123757
0.345000, -6.974392
0.345417, -4.892074
0.345833, -15.504959
0.346250, -4.703128
0.346667, -4.409650
0.347083, -6.395519
0.347500, -27.108428
0.347917, -9.788103
0.348333, -7.411969
0.348750, -3.342160
0.349167, -11.209087
0.349583, -6.936667
0.350000, -5.680822
0.350417, -6.623151
0.350833, -3.751463
0.351250, -3.765791
0.351667, -11.456967
0.352083, -5.690941
0.352500, -8.318247
0.352917, -6.007658
0.353333, -5.882432
0.353750, -5.197366
0.354167, -4.513562
0.354583, -5.443176
0.355000, -6.898935
0.355417, -25.833296
0.355833, -3.620746
0.356250, -6.602447
0.356667, -3.638354
0.357083, -5.334949
0.357500, -12.582669
0.357917, -3.882505
0.358333, -7.459270
0.358750, -3.113834
0.359167, -7.252821
0.359583, -6.850930
0.360000, -3.468732
0.360417, -5.078109
0.360833, -15.024387
0.361250, -5.740764
0.361667, -7.713319
0.362083, -5.695423
0.362500, -9.464769
0.362917, -4.591604
0.363333, -9.260761
0.363750, -3.696611
0.364167, -6.429739
0.364583, -6.846145
0.365000, -5.006597
0.365417, -10.980613
0.365833, -7.779374
0.366250, -14.234058
0.366667, -4.129611
0.367083, -9.323260
0.367500, -6.424417
0.367917, -2.918527
0.368333, -8.146986
0.368750, -8.859065
0.369167, -5.023639
0.369583, -7.365140
0.370000, -2.339466
0.370417, -6.479669
0.370833, -8.212972
0.371250, -3.390050
0.371667, -9.945940
0.372083, -3.594727
0.372500, -9.635509
0.372917, -6.376239
0.373333, -5.022530
0.373750, -7.266476
0.374167, -6.804849
0.374583, -16.298061
0.375000, -7.647284
0.375417, -6.812197
0.375833, -6.014290
0.376250, -9.209592
0.376667, -10.288482
0.377083, -4.231265
0.377500, -4.118562
0.377917, -8.399882
0.378333, -7.095800
0.378750, -7.550484
0.379167, -6.966669
0.379583, -5.163808
0.380000, -7.109904
0.380417, -11.883255
0.380833, -10.346097
0.381250, -12.524186
0.381667, -17.442487
0.382083, -15.341058
0.382500, -18.187340
0.382917, -6.341236
0.383333, -2.630299
0.383750, -8.981243
0.384167, -4.502059
0.384583, -11.875821
0.385000, -6.258073
0.385417, -7.702575
0.385833, -3.901946
0.386250, -6.143130
0.386667, -5.515123
0.387083, -8.325275
0.387500, -6.396780
0.387917, -6.568543
0.388333, -3.489810
0.388750, -4.407349
0.389167, -8.511672
0.389583, -7.316286
0.390000, -6.860794
0.390417, -18.969607
0.390833, -6.347893
0.391250, -5.642046
0.391667, -4.848746
0.392083, -6.789715
0.392500, -6.955421
0.392917, -11.479050
0.393333, -6.416200
0.393750, -6.319172
0.394167, -6.092480
0.394583, -4.754606
0.395000, -3.230254
0.395417, -7.846191
0.395833, -4.964409
0.396250, -9.457224
0.396667, -5.872905
0.397083, -5.603342
0.397500, -4.853969
0.397917, -7.302655
0.398333, -6.636604
0.398750, -7.565688
0.399167, -4.430393
0.399583, -7.846467
0.400000, -2.814724
0.400417, -6.163146
0.400833, -20.234685
0.401250, -19.326617
0.401667, -16.416397
0.402083, -15.026171
0.402500, -21.339214
0.402917, -9.709817
0.403333, -5.668931
0.403750, -5.570562
0.404167, -6.084832
0.404583, -8.822270
0.405000, -6.916759
0.405417, -8.551419
0.405833, -3.521778
0.406250, -3.981496
0.406667, -9.158670
0.407083, -9.394415
0.407500, -7.042875
0.407917, -6.008634
0.408333, -5.042979
0.408750, -17.296060
0.409167, -8.281569
0.409583, -8.760022
0.410000, -4.509740
0.410417, -5.522308
0.410833, -9.042351
0.411250, -3.479030
0.411667, -8.497952
0.412083, -3.575594
0.412500, -8.709565
0.412917, -7.579801
0.413333, -2.575639
0.413750, -6.958206
0.414167, -4.489658
0.414583, -7.160268
0.415000, -8.365532
0.415417, -3.635423
0.415833, -5.668412
0.416250, -8.302954
0.416667, -6.959175
0.417083, -12.405586
0.417500, -5.998327
0.417917, -7.567650
0.418333, -5.011772
0.418750, -7.176941
0.419167, -5.686661
0.419583, -3.592352
0.420000, -11.596296
0.420417, -5.567009
0.420833, -11.477197
0.421250, -7.129071
0.421667, -5.982792
0.422083, -6.183109
0.422500, -16.130614
0.422917, -5.861801
0.423333, -2.994638
0.423750, -7.334507
0.424167, -7.498483
0.424583, -4.398932
0.425000, -7.500520
0.425417, -3.415180
0.425833, -11.187482
0.426250, -5.998809
0.426667, -3.805421
0.427083, -7.158097
0.427500, -3.371545
0.427917, -15.814718
0.428333, -8.193746
0.428750, -7.182067
0.429167, -4.648553
0.429583, -5.502043
0.430000, -8.171947
0.430417, -7.208800
0.430833, -9.162933
0.431250, -5.717558
0.431667, -21.114651
0.432083, -4.160693
0.432500, -3.699976
0.432917, -7.401306
0.433333, -6.213374
0.433750, -7.305887
0.434167, -13.910989
0.434583, -4.000084
0.435000, -8.597143
0.435417, -9.153242
0.435833, -16.999784
0.436250, -6.315311
0.436667, -5.773849
0.437083, -4.170237
0.437500, -13.620636
0.437917, -5.422670
0.438333, -6.968196
0.438750, -8.221326
0.439167, -7.097929
0.439583, -9.400040
